date,A to B,A to C,B to C,maximum,minimum,mean,median
2/2/05,0.8476700230078332,0.628975635920451,0.7149172802623319,0.8476700230078332,0.628975635920451,0.7305209797302054,0.7149172802623319
3/22/05,0.5567277186074558,0.7433507952435446,0.47278857877796077,0.7433507952435446,0.47278857877796077,0.590955697542987,0.5567277186074558
5/3/05,0.9584342344923558,0.5764310217162436,0.5859722002503034,0.9584342344923558,0.5764310217162436,0.7069458188196341,0.5859722002503034
6/30/05,0.7749414363325648,0.5073622412269919,0.6854289835056271,0.7749414363325648,0.5073622412269919,0.655910887021728,0.6854289835056271
8/9/05,0.78883435037825,0.43222810628902697,0.5881767588666983,0.78883435037825,0.43222810628902697,0.6030797385113251,0.5881767588666983
11/1/05,0.8447861991267112,0.428247647297492,0.4681000079274432,0.8447861991267112,0.428247647297492,0.5803779514505488,0.4681000079274432
1/31/06,0.9209623826072711,0.8083260253252843,0.8342419189944711,0.9209623826072711,0.8083260253252843,0.8545101089756755,0.8342419189944711
3/28/06,0.7096126293203594,0.5681252275613146,0.7985759695214657,0.7985759695214657,0.5681252275613146,0.6921046088010465,0.7096126293203594
5/10/06,0.7276678302515913,0.6466145168291985,0.7235618818813211,0.7276678302515913,0.6466145168291985,0.699281409654037,0.7235618818813211
6/29/06,0.47690406007921904,0.48806280285484194,0.6048957467240605,0.6048957467240605,0.47690406007921904,0.5232875365527071,0.48806280285484194
8/8/06,0.7793631021658682,0.8335298837842345,0.7235356433619883,0.8335298837842345,0.7235356433619883,0.7788095431040304,0.7793631021658682
9/20/06,0.6817053509314108,0.43005818117899486,0.7011309789697215,0.7011309789697215,0.43005818117899486,0.6042981703600424,0.6817053509314108
10/25/06,0.8315702012692104,0.5994314820535911,0.7116296318399106,0.8315702012692104,0.5994314820535911,0.7142104383875707,0.7116296318399106
12/12/06,0.7673136838916143,0.5454103426976071,0.6955928633811791,0.7673136838916143,0.5454103426976071,0.6694389633234668,0.6955928633811791
1/31/07,0.6199076098274605,0.6266481950981557,0.5646561343924958,0.6266481950981557,0.5646561343924958,0.6037373131060374,0.6199076098274605
3/21/07,0.7635755740031567,0.5662193886258402,0.6825864728480052,0.7635755740031567,0.5662193886258402,0.6707938118256673,0.6825864728480052
5/9/07,0.7061299766911773,0.6141778706329603,0.736964711661206,0.736964711661206,0.6141778706329603,0.6857575196617812,0.7061299766911773
6/28/07,0.5979863243667904,0.5619400988439405,0.7383250862433757,0.7383250862433757,0.5619400988439405,0.6327505031513688,0.5979863243667904
8/7/07,0.5967034801335439,0.6331915122358334,0.6967243368805576,0.6967243368805576,0.5967034801335439,0.6422064430833115,0.6331915122358334
9/18/07,0.5681735202607537,0.8026189439581514,0.7831440269476202,0.8026189439581514,0.5681735202607537,0.7179788303888417,0.7831440269476202
10/31/07,0.7123459864708046,0.5101742466494636,0.46125820378100524,0.7123459864708046,0.46125820378100524,0.5612594789670912,0.5101742466494636
12/11/07,0.8155222874794388,0.6795995585046181,0.6557022030643412,0.8155222874794388,0.6557022030643412,0.7169413496827993,0.6795995585046181
1/30/08,0.7355370776581883,0.7839824641797125,0.8314508926333165,0.8314508926333165,0.7355370776581883,0.7836568114904058,0.7839824641797125
3/18/08,0.9397249395414097,0.7513431009171677,0.7745617166557213,0.9397249395414097,0.7513431009171677,0.8218765857047662,0.7745617166557213
4/30/08,0.9305555148426824,0.8068302932189149,0.8292439457705427,0.9305555148426824,0.8068302932189149,0.8555432512773801,0.8292439457705427
6/25/08,0.7426437556018155,0.6054810916453769,0.6817757908273573,0.7426437556018155,0.6054810916453769,0.6766335460248499,0.6817757908273573
9/16/08,0.9146767579123509,0.7752684416060279,0.8163996013486944,0.9146767579123509,0.7752684416060279,0.8354482669556912,0.8163996013486944
10/29/08,0.721744477482705,0.5746636042486775,0.7221825213667646,0.7221825213667646,0.5746636042486775,0.6728635343660491,0.721744477482705
12/16/08,0.7839411255707578,0.711756159388428,0.8225423667357425,0.8225423667357425,0.711756159388428,0.7727465505649761,0.7839411255707578
1/28/09,0.8482625041067859,0.7560881488502511,0.8265966867157838,0.8482625041067859,0.7560881488502511,0.8103157798909403,0.8265966867157838
