All Tables
Month	yyyy	ics_all	ics_inc31	ics_inc32	ics_inc33	ics_a1834	ics_a3554	ics_a5597	ics_ne	ics_nc	ics_s	ics_w	icc_all	ice_all	pago_f_all	pago_s_all	pago_u_all	pago_dk_all	pago_r_all	pagorn_hy_all	pagorn_ha_all	pagorn_ld_all	pagorn_ly_all	pagorn_hp_all	pagorn_la_all	pagorn_hd_all	pagorn_ny_all	pagorn_nad_all	pexp_f_all	pexp_s_all	pexp_u_all	pexp_dk_all	pexp_r_all	ptrd_bb_all	ptrd_bs_all	ptrd_ss_all	ptrd_ws_all	ptrd_ww_all	ptrd_bw_all	ptrd_dk_all	ptrd_r_all	pago5_f_all	pago5_s_all	pago5_u_all	pago5_dk_all	pago5_r_all	pexp5_f_all	pexp5_s_all	pexp5_u_all	pexp5_dk_all	pexp5_r_all	ptrd5_bb_all	ptrd5_bs_all	ptrd5_ss_all	ptrd5_ws_all	ptrd5_ww_all	ptrd5_bw_all	ptrd5_dk_all	ptrd5_r_all	inex_dwn_all	inex_0_all	inex_12_all	inex_34_all	inex_5_all	inex_69_all	inex_125_all	inex_25p_all	inex_dkup_all	inex_dk_all	inex_med_all	inex_r_all	rinc_f_all	rinc_s_all	rinc_u_all	rinc_dk_all	rinc_r_all	pinc2_0_all	pinc2_0124_all	pinc2_2549_all	pinc2_50_all	pinc2_5174_all	pinc2_7599_all	pinc2_100_all	pinc2_dk_all	pinc2_mean_all	pinc_0_all	pinc_0124_all	pinc_2549_all	pinc_50_all	pinc_5174_all	pinc_7599_all	pinc_100_all	pinc_dk_all	pinc_mean_all	pjob_0_all	pjob_0124_all	pjob_2549_all	pjob_50_all	pjob_5174_all	pjob_7599_all	pjob_100_all	pjob_dk_all	pjob_mean_all	pssa_0_all	pssa_0124_all	pssa_2549_all	pssa_50_all	pssa_5174_all	pssa_7599_all	pssa_100_all	pssa_dk_all	pssa_mean_all	pcry_f_all	pcry_s_all	pcry_u_all	pcry_dk_all	pcry_r_all	pstk_0_all	pstk_0124_all	pstk_2549_all	pstk_50_all	pstk_5174_all	pstk_7599_all	pstk_100_all	pstk_dk_all	pstk_mean_all	inv_9_all	inv_24_all	inv_49_all	inv_99_all	inv_199_all	inv_499_all	inv_500_all	inv_dk_all	inv_md_all	inv_p25_all	inv_p75_all	inv_r50_all	hmv_99_all	hmv_199_all	hmv_299_all	hmv_399_all	hmv_499_all	hmv_500_all	hmv_dk_all	hmv_md_all	hmv_p25_all	hmv_p75_all	hmv_r50_all	news_f_all	news_u_all	news_n_all	news_r_all	newsrn_f_govt_all	newsrn_f_emp_all	newsrn_f_dem_all	newsrn_f_pri_all	newsrn_f_cred_all	newsrn_f_stk_all	newsrn_f_trd_all	newsrn_u_govt_all	newsrn_u_emp_all	newsrn_u_dem_all	newsrn_u_pri_all	newsrn_u_cred_all	newsrn_u_eng_all	newsrn_u_stk_all	newsrn_u_trd_all	newsrn_np_all	newsrn_ne_all	newsrn_ng_all	bago_f_all	bago_s_all	bago_u_all	bago_dk_all	bago_r_all	bexp_f_all	bexp_s_all	bexp_u_all	bexp_dk_all	bexp_r_all	btrd_bb_all	btrd_bs_all	btrd_ss_all	btrd_ws_all	btrd_ww_all	btrd_bw_all	btrd_dk_all	btrd_r_all	bus12_f_all	bus12_s_all	bus12_u_all	bus12_dk_all	bus12_na_all	bus12_r_all	bus5_f_all	bus5_s_all	bus5_u_all	bus5_na_all	bus5_r_all	umex_f_all	umex_s_all	umex_u_all	umex_dk_all	umex_r_all	ratex_f_all	ratex_s_all	ratex_u_all	ratex_dk_all	ratex_r_all	px1_dwn_all	px1_0_all	px1_12_all	px1_34_all	px1_5_all	px1_69_all	px1_1014_all	px1_15p_all	px1_dkup_all	px1_dk_all	px1_mean_all	px1_var_all	px1_med_all	px1_std_all	px1_p25_all	px1_p75_all	px1_r50_all	px5_dwn_all	px5_0_all	px5_12_all	px5_34_all	px5_5_all	px5_69_all	px5_1014_all	px5_15p_all	px5_dkup_all	px5_dk_all	px5_mean_all	px5_var_all	px5_std_all	px5_med_all	px5_p25_all	px5_p75_all	px5_r50_all	govt_f_all	govt_s_all	govt_u_all	govt_dk_all	govt_r_all	dur_f_all	dur_s_all	dur_u_all	dur_r_all	durrn_lp_all	durrn_biap_all	durrn_lr_all	durrn_biar_all	durrn_gt_all	durrn_hp_all	durrn_hr_all	durrn_tb_all	durrn_fb_all	durrn_np_all	durrn_nr_all	durrn_nt_all	veh_f_all	veh_s_all	veh_u_all	veh_r_all	vehrn_lp_all	vehrn_biap_all	vehrn_lr_all	vehrn_biar_all	vehrn_gt_all	vehrn_mpg_all	vehrn_hp_all	vehrn_hr_all	vehrn_tb_all	vehrn_fb_all	vehrn_gas_all	vehrn_sel_all	vehrn_np_all	vehrn_nr_all	gas1px_f_all	gas1px_s_all	gas1px_u_all	gas1px_dk_all	gas1px_md_all	gas1px_mean_all	gas5px_f_all	gas5px_s_all	gas5px_u_all	gas5px_dk_all	gas5px_md_all	gas5px_mean_all	hom_f_all	hom_s_all	hom_u_all	hom_r_all	homrn_lp_all	homrn_biap_all	homrn_lr_all	homrn_biar_all	homrn_inv_all	homrn_gt_all	homrn_hp_all	homrn_hr_all	homrn_tb_all	homrn_fb_all	homrn_cd_all	homrn_np_all	homrn_nr_all	homrn_nt_all	homrn_ni_all	shom_f_all	shom_s_all	shom_u_all	shom_r_all	shomrn_hp_all	shomrn_siap_all	shomrn_lr_all	shomrn_siar_all	shomrn_gt_all	shomrn_inv_all	shomrn_lp_all	shomrn_hr_all	shomrn_tb_all	shomrn_fb_all	shomrn_cd_all	shomrn_np_all	shomrn_nr_all	shomrn_nt_all	shomrn_ni_all	homval_f_all	homval_s_all	homval_u_all	homval_dk_all	homval_r_all	hompx1_f_all	hompx1_s_all	hompx1_u_all	hompx1_dk_all	hompx1_mean_all	hompx1_md_all	hompx1_var_all	hompx1_p25_all	hompx1_p75_all	hompx1_r50_all	hompx5_f_all	hompx5_s_all	hompx5_u_all	hompx5_dk_all	hompx5_mean_all	hompx5_md_all	hompx5_var_all	hompx5_p25_all	hompx5_p75_all	hompx5_r50_all	
6	2011	71.5	63.3	73.4	80.1	85.1	74.8	66	73.5	73	70.6	69.4	82	64.7	28	28	44	0	84	19	4	6	30	25	2	3	-11	5	26	53	18	3	108	9	23	17	24	12	11	4	96																			23	36	9	8	6	2	7	6	2	1	0.2	117	10	34	55	1	55	27	21	9	14	7	13	8	1	36.4	20	34	15	16	4	8	2	1	29.4	42	25	8	17	2	3	2	1	21	17	30	15	14	5	13	3	3	34.1	11	41	47	1	64	3	19	9	24	19	21	3	2	50.7	9	11	12	12	12	18	10	16	79664	25563	278021	252458	20	30	19	10	4	9	8	174500	100614	290142	189528	33	70	37	63	2	22	1	0	1	2	0	9	32	5	7	2	0	2	1	-7	-10	-7	42	10	48	0	94	28	53	19	0	109	21	21	6	29	16	6	1	97	29	4	55	3	9	74	33	8	56	3	77	21	53	26	0	95	13	45	40	2	73	4	10	16	20	19	6	11	4	9	1	4.5	21	3.8	4.6	1.8	5.4	3.6	5	3	28	24	17	5	7	1	8	2	3.6	11	3.3	3	1.6	5	3.4	14	45	40	1	74	60	8	32	128	40	5	7	0	2	9	3	18	10	31	4	-26	58	3	39	119	36	3	13	0	2	9	13	5	18	5	6	4	23	8	16	40	43	1	0.3	14.1	11	23	65	1	49.9	62.8	72	2	26	146	62	2	31	1	2	1	5	9	15	5	2	57	22	-19	0	8	2	90	18	1	1	3	0	1	0	62	9	29	4	18	-61	-6	-32	-18	11	37	52	0	59	14	66	19	1	-0.5	0	26	-0.4	0.3	0.7	52	37	9	2	2.1	1	33	-0.4	4.5	4.9	
7	2011	63.7	60.7	61	70.1	69.1	66.9	59.9	63.9	66.2	62.3	63.4	75.7	55.9	23	30	46	1	77	19	5	4	32	28	2	2	-13	5	20	59	17	4	103	7	19	20	28	11	10	5	87	41	8	50	1	91	40	39	17	4	123	20	17	4	22	10	22	5	105	23	37	9	7	7	3	8	6	0	0	0.2	117	11	42	46	1	65	25	22	7	15	6	13	10	2	37.3	20	36	11	15	5	9	2	2	29.6	45	26	8	10	3	4	3	1	19.7	19	30	15	13	5	10	4	4	31.9	9	43	46	2	63	3	20	15	17	18	21	4	2	49.2	8	12	11	10	14	15	13	17	96404	24833	292794	267961	18	28	20	12	5	8	9	197578	120797	300796	179999	30	73	37	57	1	16	2	1	1	3	0	16	37	5	4	1	0	1	1	-3	-21	-15	34	7	58	1	76	23	52	24	1	99	13	19	4	31	19	11	3	82	21	4	66	2	7	55	26	10	62	2	64	14	55	31	0	83	7	44	47	2	60	2	10	16	24	19	4	10	4	11	0	4.4	18	3.4	4.2	2	5.3	3.3	3	5	27	29	15	3	5	1	10	2	3.3	8	2.8	2.9	1.7	4.7	2.9	12	39	48	1	64	55	7	38	117	39	3	8	0	2	7	5	24	11	32	3	-33	53	5	42	111	35	2	16	0	2	5	16	8	17	7	5	3	19	8	9	37	53	1	5.5	15.6	8	22	69	1	49.6	58.1	71	3	26	145	62	2	35	0	4	1	4	7	18	7	0	58	28	-24	4	6	1	93	13	1	0	1	0	2	0	64	8	28	3	18	-63	-7	-29	-18	14	37	49	0	65	17	65	17	1	0.1	0	42	-0.4	0.4	0.8	52	36	10	2	2.5	1	35	-0.1	4.6	4.7	
8	2011	55.8	51.9	53	62.3	78.3	57.4	49.6	47.6	61	56.9	54.8	68.5	47.6	21	26	53	0	68	14	4	4	33	29	6	3	-19	-1	23	50	24	3	99	8	16	15	29	18	11	3	77	39	12	47	2	92	38	37	22	3	116	18	16	7	17	13	24	5	104	26	35	9	8	6	1	8	5	1	1	0.2	112	11	35	52	2	59	29	21	8	14	5	15	7	1	35.2	19	33	11	15	6	11	3	2	32.1	48	22	10	12	3	4	1	0	18	21	26	12	17	5	13	5	1	35	8	40	52	0	56	8	26	13	22	13	14	3	1	41.4	8	10	8	16	16	17	11	14	100260	32938	208005	175068	19	29	19	11	5	9	8	184857	109125	298527	189402	20	104	29	16	2	12	1	0	1	1	0	26	43	7	4	3	0	10	1	-4	-31	-24	22	8	69	1	53	20	46	33	1	87	10	13	3	32	30	10	2	61	14	3	74	4	5	40	19	8	71	2	48	12	45	43	0	69	8	35	56	1	52	3	10	16	20	17	6	11	4	13	0	4.4	18	3.5	4.2	1.8	5.5	3.7	6	4	26	27	14	4	6	1	10	2	3.3	12	3.4	2.9	1.6	4.8	3.2	5	37	57	1	48	51	6	43	108	38	5	6	0	1	7	7	22	16	31	-1	-37	53	5	42	111	35	3	19	1	2	4	13	8	18	11	3	4	22	11	11	40	49	0	0.5	15.1	8	23	69	0	49.7	66.2	67	1	32	135	60	1	39	1	2	1	8	15	19	5	1	52	24	-23	1	8	0	92	16	0	1	3	1	2	0	66	9	27	5	17	-66	-6	-30	-17	11	41	47	1	64	14	63	22	1	-0.8	-0.1	31	-0.5	0.3	0.8	49	36	12	3	1.4	0.7	32	-0.1	3.4	3.5	
9	2011	59.5	59.6	55.4	63.2	64.2	64	55.2	61.1	60.1	58.3	59.1	75.2	49.4	26	25	49	0	77	21	3	3	31	25	8	5	-10	-7	21	60	17	2	104	9	19	18	31	13	8	2	84	38	8	54	0	84	41	37	18	4	123	21	14	5	21	13	22	4	101	28	29	12	8	6	2	8	4	2	1	0.2	114	8	37	54	1	54	29	20	8	15	4	15	7	2	34.7	22	37	12	15	4	7	2	1	27.2	46	27	9	10	1	4	2	1	17.3	23	29	12	15	8	9	3	1	31.8	9	40	51	0	58	6	25	14	21	10	18	3	3	42.9	4	9	10	16	14	17	11	19	101088	38290	276094	237804	14	29	19	11	6	13	8	200773	127600	339019	211419	25	87	34	38	4	12	1	0	2	2	0	17	40	3	4	2	0	8	2	-4	-28	-13	22	9	68	1	54	17	53	28	2	89	10	12	7	35	26	7	3	61	15	3	76	1	5	39	20	12	68	0	52	10	54	35	1	75	10	51	38	1	72	2	12	20	22	16	7	10	4	6	1	4.3	17	3.3	4.2	1.7	5.4	3.8	5	4	31	27	15	2	8	0	6	2	3.2	10	3.1	2.8	1.5	4.7	3.1	6	40	52	2	54	54	9	37	117	37	6	6	0	1	7	5	19	14	30	1	-32	55	3	42	113	38	2	16	0	1	4	11	7	19	11	3	3	27	9	6	47	46	1	0.4	12.3	5	27	67	1	45.1	59.9	71	2	27	144	63	2	34	2	5	1	6	9	14	7	2	57	25	-20	3	8	1	91	17	1	2	1	0	3	0	64	9	31	4	17	-63	-8	-32	-17	10	43	47	0	63	10	67	23	0	-1.2	-0.1	28	-0.5	0.3	0.7	51	39	8	2	2	0.7	29	-0.1	3.6	3.7	
10	2011	60.8	52.6	63.2	68.1	82.2	63.6	53	59.7	57.8	60.7	65.8	74.9	51.7	24	28	47	1	77	22	2	5	35	23	6	3	-13	-2	20	60	18	2	102	9	21	16	33	12	6	3	85	38	9	51	2	87	41	39	17	3	124	20	16	5	20	12	22	5	104	23	38	8	11	5	3	5	5	1	1	0.2	115	12	35	52	1	60	25	21	10	12	7	14	10	1	38.4	19	36	12	16	3	8	5	1	30.9	42	26	9	12	3	5	3	0	21.4	16	25	18	17	6	11	4	3	35.5	10	38	51	1	59	6	24	16	23	13	14	3	1	42.9	10	11	12	11	16	12	11	17	71750	21046	200333	179287	18	31	20	12	5	8	6	189350	118491	299844	181354	27	83	35	44	3	17	2	0	1	1	0	16	38	4	3	4	0	3	3	-3	-21	-13	22	10	67	1	55	19	54	26	1	93	8	14	7	36	22	11	2	64	16	2	71	3	8	45	24	8	66	2	58	12	53	34	1	78	12	53	33	2	79	3	11	19	25	16	6	10	3	7	0	4	16	3.2	4	1.6	5.3	3.6	8	4	31	30	12	3	4	1	5	2	2.8	9	3	2.7	1.3	4.1	2.8	7	35	57	1	50	55	5	40	115	38	5	9	0	1	9	4	23	15	29	5	-37	54	4	42	112	35	2	22	0	3	3	13	6	22	10	3	2	22	16	9	40	50	1	2.3	14.5	10	23	66	1	39.5	57.1	72	2	26	146	60	1	45	1	4	1	4	13	16	7	2	56	32	-22	2	6	1	93	13	1	0	1	0	2	0	68	11	27	4	22	-67	-10	-29	-22	10	38	52	0	58	15	64	21	0	-0.8	0	33	-0.4	0.3	0.8	55	32	11	2	2.2	1.3	38	-0.1	4.7	4.7	
11	2011	63.7	59.3	62.5	70.7	69.8	65.7	61.5	64.9	64.3	64.2	60.9	77.4	54.9	23	33	44	0	79	21	2	3	29	24	7	2	-8	-4	22	60	16	2	106	7	21	21	31	9	10	1	88	37	12	51	0	86	40	41	15	4	125	17	18	7	19	10	24	5	106	22	32	14	12	5	2	6	5	1	1	0.4	123	10	37	52	1	58	26	21	6	15	7	15	9	1	37.3	20	33	13	16	7	7	2	2	29.7	46	24	10	14	1	4	1	0	17.7	19	24	16	16	7	12	4	2	35	10	41	49	0	61	6	26	15	21	12	17	1	2	41.9	7	11	10	13	17	14	10	18	96204	29980	200747	170768	20	30	18	10	4	11	7	181319	109646	304844	195198	30	79	34	51	3	16	1	0	2	1	0	14	37	4	4	1	0	4	5	-4	-21	-11	27	9	64	0	63	20	56	22	2	98	10	16	6	36	19	11	2	71	19	5	67	4	5	52	24	10	64	2	60	16	58	26	0	90	9	51	38	2	71	1	13	20	24	18	4	9	3	7	1	4	14	3.2	3.8	1.6	5.1	3.5	3	3	37	28	13	4	4	0	6	2	3	7	2.6	2.7	1.6	4.2	2.6	8	36	55	1	53	55	10	35	120	42	4	10	0	1	6	6	18	16	36	4	-33	60	6	34	126	41	2	21	0	2	6	12	5	13	11	2	3	29	16	7	41	51	1	3.3	13.4	6	23	70	1	49.6	58.8	72	2	26	146	62	1	46	1	2	1	5	10	15	6	3	57	36	-20	-1	7	1	92	15	1	1	2	0	2	1	65	8	29	4	20	-64	-6	-31	-19	12	39	49	0	63	15	64	20	1	-0.3	0	24	-0.4	0.4	0.8	53	32	14	1	1.5	1.1	23	-0.2	3.4	3.6	
12	2011	69.9	68.7	68	73.6	85.5	72.3	64.7	66.8	69.5	68	76.4	79.6	63.6	23	31	46	0	77	15	3	3	32	21	5	3	-17	-2	25	55	17	3	108	8	18	21	27	10	13	3	89	37	9	54	0	83	41	37	17	5	124	19	14	6	20	12	23	6	101	20	35	13	11	5	1	8	4	3	0	0.3	125	10	36	52	2	58	25	24	7	12	5	16	9	2	36.8	21	33	11	17	5	9	3	1	30.3	43	27	9	13	2	3	3	0	19.3	19	28	15	13	7	10	6	2	34.7	10	42	47	1	63	7	26	11	26	11	16	2	1	41.9	6	7	13	16	13	18	11	16	99043	38038	250321	212283	22	26	19	11	6	8	8	180483	98517	301083	202566	43	62	34	81	4	21	7	1	1	2	0	11	27	4	2	1	0	3	6	-1	-6	-7	36	11	52	1	84	26	50	22	2	104	15	20	7	26	18	11	3	91	29	3	59	2	7	70	33	7	58	2	75	18	52	29	1	89	10	52	36	2	74	2	15	17	25	15	4	10	2	9	1	3.7	15	3.1	3.9	1.3	5.1	3.8	4	3	33	29	9	3	7	1	9	2	3.2	9	2.9	2.7	1.6	4.1	2.6	8	39	52	1	56	61	6	33	128	47	5	7	0	2	6	5	21	11	41	2	-30	56	5	39	117	36	2	20	1	2	4	11	8	18	8	2	5	25	12	6	42	52	0	4.7	14.9	5	26	68	1	49.5	61.4	74	2	24	150	63	1	42	1	4	1	4	9	15	7	2	59	33	-21	2	9	0	91	18	1	0	3	0	3	0	67	8	26	3	17	-66	-5	-26	-17	11	43	45	1	66	17	60	22	1	-0.6	0	44	-0.5	0.4	0.8	50	35	13	2	0.9	0.6	24	-0.2	3.2	3.4	
1	2012	75	69	76.1	79.3	79.4	78.1	71.8	75.7	74.8	73.4	77.3	84.2	69.1	29	30	41	0	88	21	3	6	28	23	6	3	-7	0	25	60	13	2	112	11	21	22	26	8	10	2	98	37	11	52	0	85	44	37	14	5	130	20	17	6	19	10	23	5	108	20	33	12	14	6	1	7	5	2	0	0.4	127	13	34	53	0	60	22	21	10	16	6	14	10	1	39.4	16	35	15	16	5	9	3	1	31.8	46	25	9	11	3	4	2	0	18.8	21	24	12	15	8	14	4	2	35.9	8	43	48	1	60	4	28	13	20	15	16	3	1	43	7	9	11	13	10	18	9	23	82500	30544	209122	178579	19	31	18	12	5	7	8	180909	116050	297981	181931	52	53	37	99	4	31	6	1	1	3	0	10	25	2	3	1	0	1	2	-2	6	-6	44	8	47	1	97	30	54	14	2	116	20	24	4	28	12	9	3	104	34	5	52	2	7	82	34	12	52	2	82	23	52	25	0	98	8	50	40	2	68	2	12	21	23	18	6	8	2	8	0	4	14	3.3	3.7	1.6	5.2	3.5	3	4	34	28	12	5	5	0	7	2	3.1	7	2.6	2.7	1.5	4.3	2.8	7	41	51	1	56	60	10	30	130	45	5	8	0	3	7	4	15	12	38	4	-24	58	7	35	123	37	2	21	1	5	5	15	7	14	8	3	2	22	14	3	30	67	0	15.3	24.8	3	16	80	1	50.4	73.9	76	1	23	153	64	3	44	1	2	1	3	9	12	7	2	61	35	-18	0	8	0	92	16	1	0	1	0	2	0	70	7	25	6	19	-69	-6	-29	-19	12	43	45	0	67	13	68	18	1	-0.5	0	30	-0.4	0.3	0.7	55	36	7	2	2.1	1.2	21	0	4.6	4.6	
2	2012	75.3	68.9	73.4	84.8	88.6	80.1	68.5	74.7	77.9	75	73.3	83	70.3	27	33	40	0	87	18	2	6	28	25	4	4	-10	0	25	56	16	3	109	9	23	20	24	10	11	3	98	39	10	51	0	88	40	39	17	4	123	20	16	5	22	11	22	4	103	21	34	11	12	8	2	6	3	2	1	0.3	123	8	44	46	2	62	24	22	8	14	7	14	10	1	38.6	20	39	11	14	6	8	1	1	27.6	47	22	10	10	2	5	3	1	19.1	20	26	14	14	5	13	5	3	34.8	11	46	42	1	69	5	22	13	23	13	19	4	1	46.7	10	9	11	16	13	12	13	16	79375	26969	208021	181052	17	33	24	8	5	5	8	179537	116889	268458	151570	55	52	36	103	3	33	5	0	0	3	0	7	24	4	6	1	0	1	1	-6	9	-4	46	8	45	1	101	30	54	15	1	115	23	23	6	28	13	6	1	105	32	7	50	2	9	82	39	10	49	2	90	29	46	25	0	104	10	56	32	2	78	1	13	17	23	18	6	8	2	11	1	4.1	14	3.3	3.7	1.8	5.2	3.4	5	5	26	27	17	2	5	0	11	2	3.2	8	2.8	2.9	1.6	4.8	3.2	11	42	47	0	64	61	6	33	128	41	6	6	0	3	8	5	19	12	33	1	-28	59	5	36	123	34	3	22	0	5	3	15	4	15	7	3	4	19	18	3	29	67	1	19.8	27.8	3	16	80	1	55.3	77.6	75	2	23	152	60	2	50	0	2	1	3	8	14	5	2	57	42	-18	0	8	1	91	17	1	1	3	0	3	0	65	11	27	3	19	-64	-8	-27	-19	13	42	44	1	69	20	63	16	1	-0.1	0	28	-0.4	0.4	0.8	52	34	12	2	1.5	0.9	36	-0.1	4.5	4.7	
3	2012	76.2	68.9	72.4	89.9	86.5	81.2	70.4	81.5	72.7	75.2	77.2	86	69.8	34	28	37	1	97	26	6	5	25	28	3	3	1	5	24	60	12	4	112	12	26	20	21	10	7	4	107	38	14	48	0	90	44	37	15	4	129	18	19	8	17	9	24	5	111	20	32	13	11	6	2	8	6	1	1	0.5	127	13	35	51	1	62	21	21	9	13	8	19	8	1	40.7	18	32	11	19	7	10	2	1	33	43	31	8	12	2	2	1	1	17	17	29	14	16	6	13	4	1	35.3	13	41	45	1	68	2	18	11	23	17	22	5	2	52.8	10	8	13	13	14	17	10	15	88750	30300	201500	171200	17	32	19	9	5	11	7	185639	118860	297308	178447	62	56	31	106	3	38	3	0	2	7	0	8	23	4	12	1	0	0	1	-12	15	-5	52	10	37	1	115	32	51	15	2	117	26	24	5	24	11	6	4	115	32	4	53	3	8	79	38	12	49	1	89	29	51	19	1	110	7	57	34	2	73	2	9	17	20	20	4	13	4	11	0	4.7	18	3.9	4.3	1.9	5.4	3.5	3	3	27	29	17	4	6	1	8	2	3.5	9	3	3	1.7	4.8	3.1	10	48	41	1	69	59	7	34	125	39	7	8	0	3	8	5	17	14	31	3	-28	59	4	37	122	37	3	21	0	5	8	13	5	16	8	6	4	24	16	6	14	79	1	29.6	38.3	7	14	77	2	63.4	79	77	2	21	156	66	1	46	0	3	1	4	8	12	6	2	62	38	-17	1	7	1	92	15	0	0	3	0	2	0	65	6	29	7	24	-65	-3	-34	-24	11	47	41	1	70	19	62	18	1	-0.8	0	33	-0.4	0.4	0.8	57	31	10	2	2.5	1.6	31	0	4.8	4.8	
4	2012	76.4	68.5	75.9	85	88.7	78.8	71.9	79.6	76.4	75.2	75.6	82.9	72.3	28	32	40	0	88	24	4	7	30	26	3	3	-6	5	24	59	14	3	110	11	20	23	25	9	9	3	97	39	10	50	1	89	41	37	18	4	123	21	16	5	20	13	20	5	104	17	38	11	12	6	2	7	4	2	1	0.3	127	8	42	49	1	59	25	22	8	12	8	14	9	2	37.2	20	35	13	13	7	7	3	2	29.7	43	29	10	10	2	4	1	1	18.4	17	30	13	17	6	11	4	2	34.6	11	43	45	1	66	7	18	13	21	15	19	5	2	47.9	8	10	10	18	14	15	9	16	79931	28121	212813	184692	20	31	18	9	4	11	7	178469	103583	299362	195779	54	57	32	97	2	34	3	1	2	2	0	9	25	5	11	1	0	1	1	-10	9	-7	51	7	40	2	111	29	54	14	3	115	22	26	4	25	9	9	5	114	34	6	47	3	10	87	41	9	49	1	92	24	53	22	1	102	8	47	42	3	66	3	11	19	23	18	3	9	2	11	1	3.8	15	3.2	3.9	1.6	5.4	3.7	6	4	26	30	12	4	8	1	6	3	3.4	12	3.4	2.9	1.5	4.7	3.2	15	41	43	1	72	60	6	34	126	38	7	10	0	5	7	3	19	13	31	7	-27	63	6	31	132	37	2	26	0	4	8	11	5	13	6	6	3	26	21	10	26	63	1	13.5	22.5	10	19	69	2	50.1	68.1	75	3	22	153	64	1	45	1	3	4	4	10	11	5	2	60	35	-12	1	10	2	88	22	2	0	3	0	4	1	67	7	22	2	23	-65	-4	-20	-22	16	49	34	1	82	21	65	13	1	0.2	0.1	37	-0.3	0.4	0.8	59	30	10	1	1.9	1.8	35	0	4.8	4.8	
5	2012	79.3	69.5	74.1	91.5	100.4	85.1	71.3	74	82.2	78.5	83.2	87.2	74.3	31	31	38	0	93	22	4	6	25	23	3	1	-3	6	29	49	16	6	113	14	22	17	20	11	10	6	105	40	14	45	1	95	42	37	16	5	126	20	19	7	17	9	22	6	113	23	30	12	10	9	3	8	4	1	0	0.4	124	15	35	49	1	66	25	23	7	12	5	15	11	2	37.9	19	31	14	15	7	9	3	2	31.9	50	22	7	11	3	4	2	1	17.9	19	24	13	19	5	13	3	4	35.1	12	43	43	2	69	6	21	11	17	15	22	5	3	48.4	8	10	10	13	16	17	13	13	96900	31825	293813	261988	21	27	15	11	5	12	9	184525	99981	308414	208433	53	50	36	103	1	34	3	3	1	4	0	9	23	2	5	1	0	1	2	-2	11	-8	51	9	39	1	112	34	48	14	4	120	25	25	6	20	11	8	5	119	37	5	46	3	9	91	41	10	47	2	94	27	50	22	1	105	9	53	37	1	72	3	14	19	23	16	4	7	3	9	2	3.6	15	3	3.8	1.5	5	3.6	5	4	32	26	14	3	5	0	8	3	3	8	2.8	2.7	1.3	4.5	3.2	15	42	41	2	74	63	6	31	132	40	6	11	0	3	8	5	14	12	32	6	-23	64	4	32	132	38	3	23	0	6	7	10	5	15	5	4	3	28	18	13	38	48	1	0.5	12.8	8	22	67	3	49.7	59.2	79	2	19	160	62	3	48	1	4	2	4	5	11	5	1	58	43	-14	3	11	1	88	23	2	0	5	0	5	1	66	7	22	4	21	-64	-2	-21	-20	16	43	41	0	75	22	62	15	1	0.1	0.1	34	-0.3	0.5	0.8	57	32	9	2	2.4	1.6	28	0	4.6	4.6	
6	2012	73.2	71.2	73.1	74.6	80.5	77.6	68.8	65.5	74.5	75.4	74.5	81.5	67.8	26	33	41	0	85	18	3	7	34	22	5	1	-16	4	25	57	15	3	110	11	20	22	26	9	9	3	96	42	12	46	0	96	40	36	21	3	119	20	18	6	17	13	23	3	108	22	34	14	9	5	3	8	3	1	1	0.3	121	9	34	55	2	54	24	22	10	14	6	11	10	3	37.1	19	34	16	16	3	7	3	2	29.7	47	22	8	14	1	4	3	1	19.1	18	29	13	16	6	11	4	3	34.3	10	45	43	2	67	4	22	10	28	13	19	3	1	46.5	7	9	10	11	17	18	12	16	106165	36269	275938	239669	17	30	18	12	5	10	8	195956	118688	304736	186049	44	63	37	81	2	27	3	1	3	1	0	14	28	2	2	2	1	3	5	-1	-1	-12	43	10	46	1	97	28	53	16	3	112	20	21	8	25	13	9	4	103	31	9	52	2	6	79	34	11	53	2	81	23	49	27	1	96	6	55	37	2	69	3	16	18	24	14	7	8	2	8	0	3.7	15	3.1	3.9	1.1	5.1	4	5	4	30	29	14	3	7	0	7	1	3.2	8	2.8	2.8	1.5	4.6	3.2	10	48	42	0	68	56	13	31	125	36	6	7	0	3	6	5	18	14	30	2	-29	61	6	33	128	39	2	20	0	5	5	12	6	16	6	3	4	27	14	10	41	48	1	0.5	13	9	24	66	1	40.5	56.7	78	3	19	159	63	4	49	1	3	3	6	8	10	5	2	57	41	-12	1	11	2	87	24	2	1	4	0	4	0	66	9	23	3	17	-64	-5	-22	-17	15	46	38	1	77	22	60	16	2	-0.2	0	34	-0.4	0.5	0.8	53	34	11	2	1.8	1.1	32	-0.1	4.5	4.6	
